8.039784902014541768e-01	3.055927859977515038e+00	6.713505098854044562e-01	1.786995332301895889e+00	6.010631672544564097e-01	1.717975718187275902e+00	3.066640827039825989e+00	2.503551937474162159e+00
6.627258666145252608e-01	1.688466813010703671e+00	2.459535770673124233e+00	7.132324057825778496e-01	2.377598864794865374e+00	3.887815582078735233e+00	9.309471371563040609e-01	1.909470119667979748e+00
1.608496967333898020e+00	1.923711351847673168e+00	3.375962811653758333e+00	2.448891354037436408e+00	3.228849909950059160e+00	1.320688304689547232e+00	1.576659999776674592e+00	7.076802169266012132e-01
1.903390943179451344e+00	1.003753373501231394e+00	4.272751524967063119e+00	2.016432324559923384e+00	1.559488523883588940e+00	2.752785743342001545e+00	1.858826668143541028e+00	2.128882667306814191e+00
2.963042954671397666e+00	1.936051352583662011e+00	3.320754883093077758e+00	2.410029635686874450e-01	8.705504117546647436e-02	4.377006094424895188e+00	1.755438899409897502e+00	3.089658527476516259e+00
4.200543118910173845e+00	4.049463238526935349e+00	4.652566508671688972e+00	0.000000000000000000e+00	1.832854672241159832e-01	3.002865908914567949e+00	7.537651827748208522e-01	2.910361308839800820e+00
3.122860833219759602e+00	4.123825303414779597e+00	2.037957033862521694e+00	1.930778560916673214e+00	4.245513533200362843e+00	3.908462485432868672e-01	3.676208885282751915e+00	1.240187904613658576e+00
2.202529701190760747e+00	3.120541793803890851e+00	3.823141111632955891e+00	1.114637340485477246e+00	1.037407369383448685e+00	4.050670558325656145e+00	2.334688673142633064e+00	1.313971701829220962e+00
3.532355309021621537e+00	2.808049512598855824e+00	1.112447868711609500e+00	8.897593926766242944e-01	1.940840497914069873e+00	1.805894968467734341e+00	2.853361265171702854e+00	9.974854783414643933e-02
3.182611455100321507e+00	5.720307566844184954e-01	2.961691282862804364e+00	1.575814350858018020e+00	2.967340228806307323e+00	2.672728653723485781e+00	3.889031991572411862e+00	3.613422607717422963e+00
